,session_id,user_id,course_id,exam_id,question,points,max_points,time,hint_count,time_spent,correct
98,99,2436,42,12,131,0,1,1669145799,0,2,0
99,99,2436,42,12,132,0,1,1669145799,0,2,0
100,99,2436,42,12,133,0,1,1669145799,0,2,0
101,99,2436,42,12,134,1,1,1669145799,0,2,1
102,99,2436,42,12,135,0,1,1669145799,0,2,0
103,99,2436,42,12,136,1,1,1669145799,0,2,1
104,99,2436,42,12,137,0,1,1669145799,0,2,0
105,99,2436,42,12,138,1,1,1669145799,0,2,1
106,99,2436,42,12,139,0,1,1669145799,0,2,0
107,100,2436,42,17,172,1,1,1669146145,0,0,1
108,100,2436,42,17,173,0,1,1669146145,0,2,0
109,100,2436,42,17,174,0,1,1669146145,0,2,0
110,100,2436,42,17,175,1,1,1669146145,0,2,1
111,100,2436,42,17,176,0,1,1669146145,0,2,0
112,100,2436,42,17,177,0,1,1669146145,0,2,0
113,100,2436,42,17,178,0,1,1669146145,0,2,0
114,100,2436,42,17,179,0,1,1669146145,0,2,0
115,100,2436,42,17,181,0,1,1669146145,0,2,0
116,100,2436,42,17,182,0,1,1669146145,0,2,0
117,115,2436,42,17,172,0,1,1669824197,0,0,0
118,115,2436,42,17,173,0,1,1669824197,0,3,0
119,115,2436,42,17,174,0,1,1669824197,0,2,0
120,115,2436,42,17,175,1,1,1669824197,0,2,1
121,115,2436,42,17,176,0,1,1669824197,0,2,0
122,115,2436,42,17,177,0,1,1669824197,0,2,0
123,115,2436,42,17,178,0,1,1669824197,0,3,0
124,115,2436,42,17,179,0,1,1669824197,0,2,0
125,115,2436,42,17,181,0,1,1669824197,0,2,0
126,115,2436,42,17,182,0,1,1669824197,0,2,0
127,116,2436,42,18,183,0,1,1669824628,0,0,0
128,116,2436,42,18,184,0,1,1669824628,0,7,0
129,116,2436,42,18,185,1,1,1669824628,0,2,1
130,116,2436,42,18,186,0,1,1669824628,0,2,0
131,116,2436,42,18,187,0,1,1669824628,0,4,0
132,116,2436,42,18,188,0,1,1669824628,0,2,0
133,116,2436,42,18,189,0,1,1669824628,0,3,0
134,116,2436,42,18,190,0,1,1669824628,0,3,0
135,116,2436,42,18,191,0,1,1669824628,0,3,0
136,116,2436,42,18,192,0,1,1669824628,0,16,0
137,116,2436,42,18,193,1,1,1669824628,0,6,1
138,116,2436,42,18,194,0,1,1669824628,0,5,0
139,116,2436,42,18,195,1,1,1669824628,0,3,1
140,116,2436,42,18,196,0,1,1669824628,0,350,0
141,117,2436,42,19,198,0,1,1669824735,0,2,0
142,117,2436,42,19,200,0,1,1669824735,0,0,0
143,117,2436,42,19,201,0,1,1669824735,0,3,0
144,117,2436,42,19,202,0,1,1669824735,0,4,0
145,117,2436,42,19,203,0,1,1669824735,0,2,0
146,117,2436,42,19,204,1,1,1669824735,0,2,1
147,117,2436,42,19,205,0,1,1669824735,0,51,0
148,117,2436,42,19,206,1,1,1669824735,0,10,1
149,117,2436,42,19,207,0,1,1669824735,0,6,0
150,117,2436,42,19,208,0,1,1669824735,0,3,0
151,117,2436,42,19,209,1,1,1669824735,0,6,1
152,117,2436,42,19,210,0,1,1669824735,0,6,0
153,118,2436,42,20,213,0,1,1669824783,0,0,0
154,118,2436,42,20,214,0,1,1669824783,0,5,0
155,118,2436,42,20,215,0,1,1669824783,0,4,0
156,118,2436,42,20,216,1,1,1669824783,0,3,1
157,118,2436,42,20,217,0,1,1669824783,0,4,0
158,118,2436,42,20,218,0,1,1669824783,0,3,0
159,118,2436,42,20,219,0,1,1669824783,0,2,0
160,118,2436,42,20,220,0,1,1669824783,0,3,0
161,118,2436,42,20,221,0,1,1669824783,0,2,0
162,119,2436,42,21,224,0,1,1669824832,0,0,0
163,119,2436,42,21,225,0,1,1669824832,0,3,0
164,119,2436,42,21,226,0,1,1669824832,0,4,0
165,119,2436,42,21,227,1,1,1669824832,0,3,1
166,119,2436,42,21,228,1,1,1669824832,0,4,1
167,119,2436,42,21,229,0,1,1669824832,0,5,0
168,119,2436,42,21,230,0,1,1669824832,0,9,0
169,119,2436,42,21,231,1,1,1669824832,0,2,1
170,119,2436,42,21,232,1,1,1669824832,0,3,1
171,119,2436,42,21,233,0,1,1669824832,0,5,0
172,120,2436,42,27,265,0,1,1669824865,0,0,0
173,120,2436,42,27,266,0,1,1669824865,0,3,0
174,120,2436,42,27,267,1,1,1669824865,0,2,1
175,120,2436,42,27,268,0,1,1669824865,0,2,0
176,120,2436,42,27,269,0,1,1669824865,0,2,0
177,120,2436,42,27,270,0,1,1669824865,0,2,0
178,120,2436,42,27,271,0,1,1669824865,0,2,0
179,120,2436,42,27,272,0,1,1669824865,0,2,0
180,121,2436,42,29,281,0,1,1669825121,0,0,0
181,121,2436,42,29,282,0,1,1669825121,0,2,0
182,121,2436,42,29,283,1,1,1669825121,0,3,1
183,121,2436,42,29,284,1,1,1669825121,0,2,1
184,121,2436,42,29,285,0,1,1669825121,0,61,0
185,121,2436,42,29,286,0,1,1669825121,0,3,0
186,122,2436,42,22,234,0,1,1669825154,0,0,0
187,122,2436,42,22,235,1,1,1669825154,0,4,1
188,122,2436,42,22,236,1,1,1669825154,0,3,1
189,122,2436,42,22,237,0,1,1669825154,0,3,0
190,122,2436,42,22,238,0,1,1669825154,0,4,0
191,122,2436,42,22,239,0,1,1669825154,0,3,0
192,122,2436,42,22,240,0,1,1669825154,0,2,0
193,123,2436,42,23,242,1,1,1669825176,0,0,1
194,123,2436,42,23,243,0,1,1669825176,0,2,0
195,123,2436,42,23,244,0,1,1669825176,0,2,0
196,123,2436,42,23,245,1,1,1669825176,0,2,1
197,123,2436,42,23,246,0,1,1669825176,0,3,0
198,123,2436,42,23,247,0,1,1669825176,0,3,0
199,124,2436,42,24,249,1,1,1669825209,0,0,1
200,124,2436,42,24,250,0,1,1669825209,0,5,0
201,124,2436,42,24,251,0,1,1669825209,0,2,0
202,124,2436,42,24,252,0,1,1669825209,0,4,0
203,124,2436,42,24,253,0,1,1669825209,0,3,0
204,124,2436,42,24,254,0,1,1669825209,0,3,0
205,124,2436,42,24,255,0,1,1669825209,0,3,0
206,124,2436,42,24,256,0,1,1669825209,0,3,0
207,125,2436,42,25,257,0,1,1669825236,0,0,0
208,125,2436,42,25,258,0,1,1669825236,0,2,0
209,125,2436,42,25,259,0,1,1669825236,0,2,0
210,125,2436,42,25,260,0,1,1669825236,0,2,0
211,125,2436,42,25,261,0,1,1669825236,0,2,0
212,125,2436,42,25,262,0,1,1669825236,0,6,0
213,125,2436,42,25,263,0,1,1669825236,0,3,0
214,125,2436,42,25,264,0,1,1669825236,0,2,0
215,327,2436,42,15,164,0,1,1674204302,0,0,0
216,327,2436,42,15,165,0,1,1674204302,0,3,0
217,327,2436,42,15,166,1,1,1674204302,0,2,1
218,327,2436,42,15,167,0,1,1674204302,0,2,0
219,345,2436,42,35,329,0,1,1674593984,0,3,0
220,345,2436,42,35,330,0,1,1674593984,0,3,0
221,345,2436,42,35,331,0,2,1674593984,0,5,0
222,345,2436,42,35,332,0,1,1674593984,0,8,0
223,345,2436,42,35,333,0,1,1674593984,0,4,0
224,345,2436,42,35,334,0,1,1674593984,0,4,0
225,345,2436,42,35,335,0,1,1674593984,0,0,0
226,379,2436,42,17,172,0,1,1679300495,0,0,0
227,379,2436,42,17,173,0,1,1679300495,0,5,0
228,379,2436,42,17,174,1,1,1679300495,0,3,1
229,379,2436,42,17,175,1,1,1679300495,0,2,1
230,379,2436,42,17,176,0,1,1679300495,0,2,0
231,379,2436,42,17,177,0,1,1679300495,0,2,0
232,379,2436,42,17,178,0,1,1679300495,0,3,0
233,379,2436,42,17,179,0,1,1679300495,0,2,0
234,379,2436,42,17,181,0,1,1679300495,0,2,0
235,379,2436,42,17,182,1,1,1679300495,0,2,1
236,380,2533,42,12,126,0,1,1680888414,0,2,0
237,380,2533,42,12,127,0,1,1680888414,0,5,0
238,380,2533,42,12,128,0,1,1680888414,0,15,0
239,380,2533,42,12,129,0,1,1680888414,0,22,0
240,380,2533,42,12,130,0,1,1680888414,0,7,0
241,380,2533,42,12,131,0,1,1680888414,0,3,0
242,380,2533,42,12,132,0,1,1680888414,0,2,0
243,380,2533,42,12,133,1,1,1680888414,0,3,1
244,380,2533,42,12,134,1,1,1680888414,0,3,1
245,380,2533,42,12,135,0,1,1680888414,0,3,0
246,380,2533,42,12,136,0,1,1680888414,0,27,0
247,380,2533,42,12,137,0,1,1680888414,0,4,0
248,380,2533,42,12,138,0,1,1680888414,0,9,0
249,380,2533,42,12,139,0,1,1680888414,0,3,0
250,381,2533,42,20,213,1,1,1680891690,0,0,1
251,381,2533,42,20,214,1,1,1680891690,0,761,1
252,381,2533,42,20,215,0,1,1680891690,0,462,0
253,381,2533,42,20,216,1,1,1680891690,0,127,1
254,381,2533,42,20,217,1,1,1680891690,0,1174,1
255,381,2533,42,20,218,0,1,1680891690,0,3,0
256,381,2533,42,20,219,0,1,1680891690,0,2,0
257,381,2533,42,20,220,0,1,1680891690,0,3,0
258,381,2533,42,20,221,1,1,1680891690,0,2,1
259,385,2436,42,17,172,1,1,1681307192,0,0,1
260,385,2436,42,17,173,1,1,1681307192,0,3,1
261,385,2436,42,17,174,0,1,1681307192,0,2,0
262,385,2436,42,17,175,0,1,1681307192,0,2,0
263,385,2436,42,17,176,0,1,1681307192,0,2,0
264,385,2436,42,17,177,0,1,1681307192,0,3,0
265,385,2436,42,17,178,0,1,1681307192,0,2,0
266,385,2436,42,17,179,0,1,1681307192,0,3,0
267,385,2436,42,17,181,0,1,1681307192,0,2,0
268,385,2436,42,17,182,0,1,1681307192,0,3,0
269,386,2436,42,17,172,0,1,1681314947,0,0,0
270,386,2436,42,17,173,0,1,1681314947,0,6,0
271,386,2436,42,17,174,0,1,1681314947,0,3,0
272,386,2436,42,17,175,0,1,1681314947,0,2,0
273,386,2436,42,17,176,0,1,1681314947,0,2,0
274,386,2436,42,17,177,0,1,1681314947,0,3,0
275,386,2436,42,17,178,0,1,1681314947,0,2,0
276,386,2436,42,17,179,1,1,1681314947,0,3,1
277,386,2436,42,17,181,0,1,1681314947,0,2,0
278,386,2436,42,17,182,0,1,1681314947,0,3,0
279,390,2436,42,37,338,0,1,1684241340,0,0,0
280,390,2436,42,37,339,0,1,1684241340,0,3,0
281,390,2436,42,37,340,0,1,1684241340,0,2,0
282,390,2436,42,37,341,0,1,1684241340,0,2,0
283,390,2436,42,37,342,0,1,1684241340,0,3,0
284,390,2436,42,37,343,0,1,1684241340,0,3,0
285,390,2436,42,37,344,0,1,1684241340,0,5,0
286,390,2436,42,37,345,0,1,1684241340,0,3,0
287,390,2436,42,37,346,0,1,1684241340,0,4,0
288,390,2436,42,37,347,0,1,1684241340,0,3,0
289,391,2436,42,17,172,1,1,1684317043,0,0,1
290,391,2436,42,17,173,0,1,1684317043,0,3,0
291,391,2436,42,17,174,0,1,1684317043,0,2,0
